"Reporting_Date","Congressional_District","UNA","DEM","REP","Total"
2020-08-01,"12",198186,223800,80146,509003
2020-08-01,"Statewide_Total",2299474,2443640,1390854,6212616
2020-09-01,"1",187971,251819,94456,541635
2020-09-01,"2",190346,172142,151711,521782
2020-09-01,"3",201712,181766,164761,555211
2020-09-01,"4",219933,149295,170308,545978
2020-09-01,"5",207193,180232,163467,556661
2020-09-01,"6",191755,201107,83543,483623
2020-09-01,"7",209858,181573,173407,570062
2020-09-01,"8",141701,232593,40812,421611
2020-09-01,"9",173501,211408,70695,462847
2020-09-01,"10",165648,293593,29316,495414
2020-09-01,"11",209536,185257,178547,578548
2020-09-01,"12",194206,229415,82001,512513
2020-09-01,"Statewide_Total",2293360,2470200,1403024,6245885
2020-10-01,"1",195743,255616,97207,556009
2020-10-01,"2",195222,173489,154645,531110
2020-10-01,"3",205599,183496,168058,564213
2020-10-01,"4",225624,151273,173756,557125
2020-10-01,"5",214506,182298,165029,567586
2020-10-01,"6",194024,201359,84416,486981
2020-10-01,"7",217151,184627,175038,582132
2020-10-01,"8",147405,234982,41830,430806
2020-10-01,"9",180137,212659,72250,472195
2020-10-01,"10",170994,298346,29937,506137
2020-10-01,"11",217150,188503,180415,591276
2020-10-01,"12",198614,232328,82738,520616
2020-10-01,"Statewide_Total",2362169,2498976,1425319,6366186
