"Reporting_Date","Congressional_District","UNA","DEM","REP","Total","Net_Monthly_Change","Percent_Monthly_Change"
2016-01-31,"Statewide_Total",2628726,1745680,1058583,5437837,0,0
2016-03-02,"Statewide_Total",2641154,1746299,1059716,5452229,14392,0.264664056682832
2016-03-31,"Statewide_Total",2650068,1754778,1067989,5478813,26584,0.487580400603129
2016-04-30,"Statewide_Total",2652061,1771461,1077360,5508008,29195,0.532870897400587
2016-05-31,"Statewide_Total",2663184,1793927,1086925,5552475,44467,0.807315457784375
2016-06-30,"Statewide_Total",2523326,1899948,1137460,5570008,17533,0.315769093962602
2016-08-05,"Statewide_Total",2418684,1994338,1179441,5603357,33349,0.598724454255721
2016-08-31,"Statewide_Total",2414866,2026282,1189478,5643537,40180,0.717070142059483
2016-10-05,"Statewide_Total",2437149,2042288,1197300,5691466,47929,0.849272362350065
2016-01-31,"1",221066,188160,67283,476970,0,0
2016-03-02,"1",220811,187410,67204,475878,-1092,-0.228945216680294
2016-03-31,"1",221215,188096,67916,477737,1859,0.390646342129706
2016-04-30,"1",221397,189734,68785,480522,2785,0.582956731423356
2016-05-31,"1",222295,191786,69622,484452,3930,0.817860576622923
2016-06-30,"1",207594,204359,73936,486758,2306,0.476001750431415
2016-08-05,"1",199147,213061,76346,489579,2821,0.57954876961447
2016-08-31,"1",199883,213974,76736,491742,2163,0.441808165791425
2016-10-05,"1",201153,214762,77156,494346,2604,0.529545981429286
2016-01-31,"2",224652,122294,114739,462070,0,0
2016-03-02,"2",225213,122104,114696,462413,343,0.0742311770943796
2016-03-31,"2",225784,122387,115138,463756,1343,0.290433011182644
2016-04-30,"2",225649,123722,115903,465853,2097,0.452177438135571
2016-05-31,"2",226662,125203,116795,469399,3546,0.761184322093021
2016-06-30,"2",216633,132057,121720,471248,1849,0.393907954639869
2016-08-05,"2",211346,136194,124455,472988,1740,0.369232336264557
2016-08-31,"2",208195,139543,125973,474863,1875,0.396415976726682
2016-10-05,"2",207968,141356,127149,477777,2914,0.613650673983865
2016-01-31,"3",244386,129173,122118,496131,0,0
2016-03-02,"3",245200,128835,122025,496525,394,0.0794145094743122
2016-03-31,"3",245878,129187,122548,498153,1628,0.327878757363678
2016-04-30,"3",245968,130268,123526,500387,2234,0.448456598675507
2016-05-31,"3",246628,131508,124478,503336,2949,0.589343847861755
2016-06-30,"3",238508,137415,128728,505463,2127,0.422580542619642
2016-08-05,"3",220881,149112,136970,507922,2459,0.48648466851184
2016-08-31,"3",222284,149975,137710,511079,3157,0.621552128082658
2016-10-05,"3",224068,150338,138375,514069,2990,0.585036755570078
2016-01-31,"4",254694,106793,122147,484069,0,0
2016-03-02,"4",255523,106950,122586,485568,1499,0.309666597117353
2016-03-31,"4",256084,107525,123581,487764,2196,0.452253855278766
2016-04-30,"4",255899,108643,124756,489994,2230,0.457188312380577
2016-05-31,"4",256904,109862,126049,493617,3623,0.739396808940518
2016-06-30,"4",238886,121386,134682,495835,2218,0.449336226264492
2016-08-05,"4",233654,125252,139538,499500,3665,0.739157179303599
2016-08-31,"4",234820,125848,140314,502159,2659,0.532332332332332
2016-10-05,"4",236233,126091,141072,504721,2562,0.510196969485761
2016-01-31,"5",232153,116297,128542,477511,0,0
2016-03-02,"5",233518,116645,128685,479375,1864,0.39035749961781
2016-03-31,"5",234234,117661,129603,482122,2747,0.573037809647979
2016-04-30,"5",234360,119226,130504,484807,2685,0.556912980531899
2016-05-31,"5",235041,120515,131306,487652,2845,0.586831460766862
2016-06-30,"5",221081,129698,136998,488601,949,0.194605989517115
2016-08-05,"5",211650,138540,142243,493373,4772,0.976666032202144
2016-08-31,"5",213489,139718,143018,497326,3953,0.80121936141621
2016-10-05,"5",216040,140634,143660,501557,4231,0.850749809983793
2016-01-31,"6",226484,146313,55721,428934,0,0
2016-03-02,"6",227888,146448,56022,430798,1864,0.434565690758951
2016-03-31,"6",228109,146601,56781,431989,1191,0.276463679032865
2016-04-30,"6",227694,147535,57601,433434,1445,0.33449925808296
2016-05-31,"6",228790,149592,58550,437655,4221,0.973850690070461
2016-06-30,"6",215031,159536,62887,438165,510,0.116530143606265
2016-08-05,"6",207951,167008,65574,441520,3355,0.765693289057775
2016-08-31,"6",209118,168255,66184,444749,3229,0.731337198767893
2016-10-05,"6",210454,168879,66536,447165,2416,0.543227753182132
2016-01-31,"7",233717,115079,142591,491933,0,0
2016-03-02,"7",234421,115449,142556,492992,1059,0.215273218100839
2016-03-31,"7",235070,116512,143505,495754,2762,0.560252499026353
2016-04-30,"7",235302,118198,144246,498498,2744,0.553500324757844
2016-05-31,"7",236254,119877,145127,502095,3597,0.721567589037469
2016-06-30,"7",218968,131287,152444,503584,1489,0.296557424391798
