"Reporting_Date","Congressional_District","UNA","DEM","REP","Total","Net_Monthly_Change","Percent_Monthly_Change"
2016-08-05,"7",215484,136289,155716,508499,4915,0.976004003304315
2016-08-31,"7",214696,139023,156766,511630,3131,0.61573375758851
2016-10-05,"7",217274,140033,157456,516018,4388,0.857651036882122
2016-01-31,"8",152430,170069,25650,348443,0,0
2016-03-02,"8",153809,170082,25782,349975,1532,0.439670189959333
2016-03-31,"8",154957,170870,26278,352477,2502,0.714908207729124
2016-04-30,"8",155590,172446,26802,355276,2799,0.794094366440931
2016-05-31,"8",156947,175355,27396,360278,5002,1.40791947668855
2016-06-30,"8",152936,180013,28137,361733,1455,0.403854801014772
2016-08-05,"8",150046,183216,28581,362553,820,0.22668653399054
2016-08-31,"8",140316,193863,29983,365048,2495,0.688175246101949
2016-10-05,"8",142956,196631,30689,371343,6295,1.72443075979049
2016-01-31,"9",195016,144345,49802,389414,0,0
2016-03-02,"9",196343,144395,49813,390821,1407,0.361312125398676
2016-03-31,"9",197347,145593,50543,393912,3091,0.790899158438262
2016-04-30,"9",198394,147030,51243,397192,3280,0.832673287434757
2016-05-31,"9",199172,148828,51749,400371,3179,0.800368587484139
2016-06-30,"9",192619,155102,53611,402077,1706,0.426104787809307
2016-08-05,"9",179970,167462,56506,404757,2680,0.66653899626191
2016-08-31,"9",181193,169692,57172,409151,4394,1.08558962538017
2016-10-05,"9",182565,171278,57697,412752,3601,0.880115165305718
2016-01-31,"10",193697,220936,19647,434525,0,0
2016-03-02,"10",195242,221086,19716,436303,1778,0.409182440596053
2016-03-31,"10",196775,221804,19977,438884,2581,0.591561369048574
2016-04-30,"10",197173,223364,20331,441286,2402,0.547297235716043
2016-05-31,"10",198054,226246,20675,445521,4235,0.959695073036534
2016-06-30,"10",193105,231564,21063,446343,822,0.184503087396554
2016-08-05,"10",178900,245518,22049,447152,809,0.181250742142254
2016-08-31,"10",177349,250168,22557,450929,3777,0.844679214226929
2016-10-05,"10",179437,253166,22911,456613,5684,1.26050886059668
2016-01-31,"11",232575,124574,148824,506442,0,0
2016-03-02,"11",233935,124902,148932,508246,1804,0.356210582850554
2016-03-31,"11",234771,125915,149933,511161,2915,0.573541159202434
2016-04-30,"11",234965,127348,150825,513751,2590,0.506689673116689
2016-05-31,"11",236014,129168,151687,517557,3806,0.740825808611565
2016-06-30,"11",225113,136314,156109,518277,720,0.139115111958683
2016-08-05,"11",210682,145965,162029,519445,1168,0.225362113310064
2016-08-31,"11",213473,147562,162959,524948,5503,1.05939993647066
2016-10-05,"11",216908,149317,164200,531585,6637,1.26431570365065
2016-01-31,"12",217856,161646,61519,441394,0,0
2016-03-02,"12",219251,161992,61699,443334,1940,0.439516622337413
2016-03-31,"12",219844,162626,62186,445103,1769,0.39902195635796
2016-04-30,"12",219670,163946,62838,447007,1904,0.42776615749613
2016-05-31,"12",220421,165986,63491,450539,3532,0.790144225929348
2016-06-30,"12",202851,181216,67145,451922,1383,0.306965656691208
2016-08-05,"12",198972,186720,69434,456067,4145,0.917193675014715
2016-08-31,"12",200049,188660,70106,459911,3844,0.842858615071908
2016-10-05,"12",202093,189803,70399,463520,3609,0.784717043080074
