"","County","Reporting_Date","Total","UNA","DEM","REP","Total_Third_Party","GRE","LIB","RFP","CON","NAT","CNV","SSP"
"1","ATLANTIC",2015-11-30,164970,76772,47914,40160,124,30,80,1,5,0,8,0
"2","BERGEN",2015-11-30,544337,270720,165519,107633,465,134,217,5,14,13,81,1
"3","BURLINGTON",2015-11-30,297000,135129,94148,67432,291,62,172,4,15,0,36,2
"4","CAMDEN",2015-11-30,327556,152624,132572,42070,290,101,151,3,8,1,25,1
"5","CAPE MAY",2015-11-30,67419,28258,13171,25926,64,18,32,1,2,0,11,0
"6","CUMBERLAND",2015-11-30,87425,48887,23936,14539,63,17,30,2,5,1,7,1
"7","ESSEX",2015-11-30,490887,226113,221388,43094,292,80,159,8,20,6,16,3
"8","GLOUCESTER",2015-11-30,197971,91383,69399,36975,214,56,130,2,8,0,18,0
"9","HUDSON",2015-11-30,313691,132321,156358,24694,318,80,184,1,17,1,34,1
"10","HUNTERDON",2015-11-30,90998,38671,17450,34748,129,34,75,1,5,1,13,0
"11","MERCER",2015-11-30,218907,106158,81455,31087,207,78,99,4,4,2,18,2
"12","MIDDLESEX",2015-11-30,481988,249851,172392,59326,419,122,192,16,13,5,68,3
"13","MONMOUTH",2015-11-30,419990,225504,98032,96058,396,116,192,2,11,1,71,3
"14","MORRIS",2015-11-30,327333,146230,68473,112297,333,76,197,0,9,2,47,2
"15","OCEAN",2015-11-30,378979,199558,71521,107565,335,78,157,6,8,3,81,2
"16","PASSAIC",2015-11-30,279374,139681,90438,49099,156,30,82,2,2,1,37,2
"17","SALEM",2015-11-30,43031,21541,12516,8937,37,8,25,0,1,0,3,0
"18","SOMERSET",2015-11-30,206775,101664,53992,50884,235,51,144,1,5,0,34,0
"19","SUSSEX",2015-11-30,98243,44283,15711,38090,159,26,91,1,8,0,32,1
"20","UNION",2015-11-30,307541,138680,126513,42153,195,40,119,1,8,0,26,1
"21","WARREN",2015-11-30,72148,31891,14653,25510,94,15,55,1,5,0,18,0
"22","Summary Total :",2015-11-30,5416563,2605919,1747551,1058277,4816,1252,2583,62,173,37,684,25
"23","ATLANTIC",2015-12-31,164989,76963,47829,40074,123,30,79,1,5,0,8,0
"24","BERGEN",2015-12-31,545105,271668,165371,107597,469,132,220,5,14,13,84,1
"25","BURLINGTON",2015-12-31,297572,135799,94058,67421,294,62,174,4,15,0,37,2
"26","CAMDEN",2015-12-31,327893,153093,132432,42074,294,100,155,3,8,1,26,1
"27","CAPE MAY",2015-12-31,67508,28372,13152,25921,63,18,31,1,2,0,11,0
"28","CUMBERLAND",2015-12-31,87637,49112,23923,14540,62,17,30,2,5,1,7,0
"29","ESSEX",2015-12-31,493220,228263,221525,43135,297,81,163,7,20,6,16,4
"30","GLOUCESTER",2015-12-31,198345,91831,69291,37015,208,55,125,2,8,0,18,0
"31","HUDSON",2015-12-31,313178,132316,155950,24593,319,81,183,2,17,1,34,1
"32","HUNTERDON",2015-12-31,91035,38780,17442,34683,130,35,75,1,5,1,13,0
"33","MERCER",2015-12-31,219205,106520,81384,31093,208,78,100,4,4,2,18,2
"34","MIDDLESEX",2015-12-31,482356,250360,172259,59323,414,120,190,16,13,5,67,3
"35","MONMOUTH",2015-12-31,420543,226134,97936,96074,399,117,191,2,11,1,74,3
"36","MORRIS",2015-12-31,328614,147393,68561,112323,337,75,201,0,9,2,48,2
"37","OCEAN",2015-12-31,379726,200146,71564,107682,334,78,155,6,8,3,82,2
"38","PASSAIC",2015-12-31,279689,140235,90291,49008,155,30,82,2,2,1,36,2
"39","SALEM",2015-12-31,43169,21689,12484,8957,39,9,26,0,1,0,3,0
"40","SOMERSET",2015-12-31,207946,102728,54053,50924,241,53,148,1,5,0,34,0
"41","SUSSEX",2015-12-31,98329,44403,15721,38048,157,26,89,1,8,0,32,1
"42","UNION",2015-12-31,307695,139158,126237,42106,194,40,118,1,8,0,26,1
"43","WARREN",2015-12-31,72368,32068,14691,25515,94,16,54,1,5,0,18,0
"44","Summary Total :",2015-12-31,5426122,2617031,1746154,1058106,4831,1253,2589,62,173,37,692,25
"45","ATLANTIC",2016-01-31,165038,77125,47746,40043,124,29,80,1,5,0,9,0
"46","BERGEN",2016-01-31,546316,272900,165334,107610,472,135,219,5,13,13,86,1
"47","BURLINGTON",2016-01-31,298274,136427,94133,67422,292,62,172,4,15,0,37,2
"48","CAMDEN",2016-01-31,328338,153667,132239,42139,293,100,154,3,8,1,27,0
"49","CAPE MAY",2016-01-31,67592,28470,13152,25907,63,18,31,1,2,0,11,0
"50","CUMBERLAND",2016-01-31,87621,49173,23862,14525,61,17,29,2,5,1,7,0
"51","ESSEX",2016-01-31,494832,229722,221596,43215,299,80,163,7,21,6,17,5
"52","GLOUCESTER",2016-01-31,199094,92383,69386,37118,207,52,126,2,8,0,19,0
"53","HUDSON",2016-01-31,314093,133253,155867,24656,317,78,184,2,17,1,34,1
"54","HUNTERDON",2016-01-31,91231,38977,17470,34649,135,35,77,2,5,2,14,0
"55","MERCER",2016-01-31,219533,106882,81334,31108,209,78,99,4,4,2,20,2
"56","MIDDLESEX",2016-01-31,483070,251020,172232,59407,411,118,191,16,13,5,65,3
"57","MONMOUTH",2016-01-31,421363,226866,97902,96192,403,118,194,2,11,1,74,3
"58","MORRIS",2016-01-31,329613,148337,68597,112341,338,76,201,0,8,2,49,2
"59","OCEAN",2016-01-31,380957,201322,71495,107802,338,78,159,5,8,3,83,2
"60","PASSAIC",2016-01-31,280438,141093,90191,48997,157,31,83,2,2,1,36,2
"61","SALEM",2016-01-31,43154,21694,12460,8961,39,9,26,0,1,0,3,0
"62","SOMERSET",2016-01-31,208261,103058,54073,50888,242,53,147,1,5,0,36,0
"63","SUSSEX",2016-01-31,98331,44476,15742,37953,160,26,91,1,9,0,32,1
"64","UNION",2016-01-31,308015,139605,126122,42093,195,40,119,1,8,0,26,1
"65","WARREN",2016-01-31,72673,32276,14747,25557,93,15,54,1,5,0,18,0
"66","Summary Total :",2016-01-31,5437837,2628726,1745680,1058583,4848,1248,2599,62,173,38,703,25
"67","ATLANTIC",2016-03-02,165576,77568,47804,40085,119,28,79,1,4,0,7,0
"68","BERGEN",2016-03-02,548500,274618,165671,107726,485,137,219,5,13,15,95,1
"69","BURLINGTON",2016-03-02,297852,136426,93866,67263,297,60,177,3,16,0,39,2
