"","County","Reporting_Date","Total","UNA","DEM","REP","Total_Third_Party","GRE","LIB","RFP","CON","NAT","CNV","SSP"
"70","CAMDEN",2016-03-02,329273,154517,132251,42213,292,100,154,3,7,1,27,0
"71","CAPE MAY",2016-03-02,67733,28638,13165,25867,63,17,31,1,3,0,11,0
"72","CUMBERLAND",2016-03-02,87801,49368,23813,14558,62,17,30,2,5,1,7,0
"73","ESSEX",2016-03-02,498216,232359,222127,43430,300,78,165,7,21,6,18,5
"74","GLOUCESTER",2016-03-02,196349,90906,68421,36823,199,48,121,2,8,0,20,0
"75","HUDSON",2016-03-02,315232,134263,155853,24795,321,79,185,2,17,1,36,1
"76","HUNTERDON",2016-03-02,91443,39101,17570,34634,138,32,78,3,4,3,18,0
"77","MERCER",2016-03-02,220449,107449,81569,31197,234,81,103,4,6,4,31,5
"78","MIDDLESEX",2016-03-02,485609,253056,172453,59691,409,115,191,16,13,5,66,3
"79","MONMOUTH",2016-03-02,422750,227299,98218,96743,490,125,211,5,11,7,119,12
"80","MORRIS",2016-03-02,330126,148793,68720,112257,356,76,204,0,8,2,62,4
"81","OCEAN",2016-03-02,382235,202713,71312,107866,344,79,162,5,5,3,88,2
"82","PASSAIC",2016-03-02,281214,141851,90194,48998,171,35,85,2,2,3,41,3
"83","SALEM",2016-03-02,43238,21697,12449,9031,61,9,32,1,9,0,7,3
"84","SOMERSET",2016-03-02,208592,103335,54154,50857,246,54,147,1,5,1,37,1
"85","SUSSEX",2016-03-02,98749,44826,15819,37943,161,25,94,1,8,0,32,1
"86","UNION",2016-03-02,308380,139948,126095,42120,217,42,123,1,15,2,31,3
"87","WARREN",2016-03-02,72912,32423,14775,25619,95,14,53,1,5,0,22,0
"88","Summary Total :",2016-03-02,5452229,2641154,1746299,1059716,5060,1251,2644,66,185,54,814,46
"89","ATLANTIC",2016-03-31,166067,77889,47895,40161,122,29,79,1,4,1,8,0
"90","BERGEN",2016-03-31,552018,275437,167100,108864,617,153,257,7,17,26,141,16
"91","BURLINGTON",2016-03-31,298748,136626,94205,67567,350,70,181,3,31,6,48,11
"92","CAMDEN",2016-03-31,330579,154766,132827,42652,334,105,157,3,7,6,55,1
"93","CAPE MAY",2016-03-31,67973,28707,13262,25931,73,19,34,1,3,0,14,2
"94","CUMBERLAND",2016-03-31,87975,49435,23848,14625,67,16,34,2,5,1,8,1
"95","ESSEX",2016-03-31,501807,234433,223137,43888,349,78,167,10,41,9,30,14
"96","GLOUCESTER",2016-03-31,197084,91119,68586,37165,214,48,122,3,6,2,32,1
"97","HUDSON",2016-03-31,316879,135024,156298,25208,349,81,196,3,21,4,42,2
"98","HUNTERDON",2016-03-31,91873,39178,17748,34783,164,35,84,3,13,5,21,3
"99","MERCER",2016-03-31,221632,107774,82108,31477,273,78,107,5,14,8,48,13
"100","MIDDLESEX",2016-03-31,486556,253557,172303,60257,439,115,204,16,13,7,79,5
"101","MONMOUTH",2016-03-31,424789,227443,98916,97861,569,136,226,8,18,11,153,17
"102","MORRIS",2016-03-31,332005,149201,69449,112931,424,86,211,1,18,9,89,10
"103","OCEAN",2016-03-31,383553,203493,71344,108326,390,80,167,8,11,12,107,5
"104","PASSAIC",2016-03-31,283232,142604,90943,49397,288,44,99,3,2,19,100,21
"105","SALEM",2016-03-31,43360,21707,12443,9129,81,9,39,1,12,1,11,8
"106","SOMERSET",2016-03-31,209934,103715,54681,51268,270,53,152,1,9,5,45,5
"107","SUSSEX",2016-03-31,99335,44990,16007,38149,189,31,99,1,8,3,42,5
"108","UNION",2016-03-31,310138,140416,126829,42584,309,44,143,4,43,9,47,19
"109","WARREN",2016-03-31,73276,32554,14849,25766,107,17,52,2,9,4,23,0
"110","Summary Total :",2016-03-31,5478813,2650068,1754778,1067989,5978,1327,2810,86,305,148,1143,159
"111","ATLANTIC",2016-04-30,167004,77944,48530,40354,176,37,80,1,10,10,28,10
"112","BERGEN",2016-04-30,555495,275776,169111,109887,721,160,291,8,28,34,167,33
"113","BURLINGTON",2016-04-30,300344,136920,95095,67946,383,73,182,3,42,8,56,19
"114","CAMDEN",2016-04-30,332588,154992,134002,43190,404,109,167,6,17,15,84,6
"115","CAPE MAY",2016-04-30,68222,28639,13447,26046,90,20,36,1,5,3,20,5
"116","CUMBERLAND",2016-04-30,88312,49358,24087,14771,96,19,37,2,17,8,10,3
"117","ESSEX",2016-04-30,504489,235078,224587,44405,419,85,174,12,62,19,42,25
"118","GLOUCESTER",2016-04-30,198114,91105,69125,37640,244,55,126,3,6,4,45,5
"119","HUDSON",2016-04-30,319595,135605,157829,25742,419,86,209,4,46,13,55,6
"120","HUNTERDON",2016-04-30,92302,39214,18069,34847,172,33,86,3,17,5,23,5
"121","MERCER",2016-04-30,222737,107788,82904,31718,327,79,116,4,30,17,63,18
"122","MIDDLESEX",2016-04-30,487877,253015,173211,61094,557,120,225,19,39,21,109,24
"123","MONMOUTH",2016-04-30,426838,227189,100071,98911,667,149,236,14,37,19,181,31
"124","MORRIS",2016-04-30,333955,149355,70550,113566,484,92,217,2,34,15,108,16
"125","OCEAN",2016-04-30,384873,203221,71768,109387,497,90,187,9,28,21,147,15
"126","PASSAIC",2016-04-30,285042,143218,91655,49813,356,49,110,3,1,32,135,26
"127","SALEM",2016-04-30,43519,21680,12522,9224,93,9,42,1,15,3,13,10
"128","SOMERSET",2016-04-30,211204,103731,55594,51573,306,50,156,3,25,7,58,7
"129","SUSSEX",2016-04-30,99842,45016,16352,38264,210,31,99,3,8,5,58,6
"130","UNION",2016-04-30,311781,140555,127888,42960,378,53,153,5,63,14,60,30
"131","WARREN",2016-04-30,73875,32662,15064,26022,127,18,54,2,14,6,30,3
"132","Summary Total :",2016-04-30,5508008,2652061,1771461,1077360,7126,1417,2983,108,544,279,1492,303
"133","ATLANTIC",2016-05-31,168756,78457,49312,40737,250,45,99,4,22,14,45,21
"134","BERGEN",2016-05-31,558867,276410,170919,110707,831,167,312,11,57,43,200,41
"135","BURLINGTON",2016-05-31,301877,137139,95995,68315,428,78,186,3,60,13,67,21
"136","CAMDEN",2016-05-31,335617,155903,135468,43735,511,123,190,8,43,24,109,14
"137","CAPE MAY",2016-05-31,68655,28733,13636,26173,113,22,45,1,10,5,23,7
"138","CUMBERLAND",2016-05-31,88869,49648,24256,14839,126,22,44,3,23,10,15,9
"139","ESSEX",2016-05-31,508830,236256,227284,44821,469,95,187,13,75,19,50,30
"140","GLOUCESTER",2016-05-31,199300,91109,69837,38067,287,60,134,5,8,6,66,8
"141","HUDSON",2016-05-31,325247,136980,161224,26423,620,111,253,8,92,33,103,20
"142","HUNTERDON",2016-05-31,93010,39441,18326,35046,197,36,97,4,21,6,28,5
"143","MERCER",2016-05-31,223659,107834,83601,31857,367,82,128,3,35,23,73,23
"144","MIDDLESEX",2016-05-31,493321,254390,176034,62221,676,136,248,23,67,25,136,41
"145","MONMOUTH",2016-05-31,430121,228162,101201,99982,776,170,255,16,60,33,199,43
"146","MORRIS",2016-05-31,336278,149940,71634,114158,546,96,233,4,46,23,116,28
"147","OCEAN",2016-05-31,387743,204069,72549,110540,585,97,202,20,52,32,161,21
"148","PASSAIC",2016-05-31,287499,143873,92976,50245,405,54,121,4,1,36,155,34
"149","SALEM",2016-05-31,43723,21732,12574,9311,106,11,48,1,17,3,16,10
"150","SOMERSET",2016-05-31,212663,104082,56388,51854,339,56,161,3,32,14,63,10
"151","SUSSEX",2016-05-31,100273,45242,16480,38332,219,32,101,4,8,5,62,7
"152","UNION",2016-05-31,313750,140969,128994,43343,444,59,161,6,80,21,72,45
"153","WARREN",2016-05-31,74417,32815,15239,26219,144,19,53,2,19,8,37,6
"154","Summary Total :",2016-05-31,5552475,2663184,1793927,1086925,8439,1571,3258,146,828,396,1796,444
"155","ATLANTIC",2016-06-30,169377,78355,49753,40983,286,49,105,4,26,22,51,29
"156","BERGEN",2016-06-30,559955,261772,182516,114801,866,169,319,11,57,48,217,45
"157","BURLINGTON",2016-06-30,303742,133410,99842,70011,479,84,205,3,64,18,77,28
"158","CAMDEN",2016-06-30,336894,146952,143333,46014,595,127,204,12,63,31,131,27
"159","CAPE MAY",2016-06-30,68957,25866,15315,27647,129,22,50,2,16,5,24,10
"160","CUMBERLAND",2016-06-30,89105,47405,25921,15632,147,22,49,4,26,15,19,12
"161","ESSEX",2016-06-30,508651,226483,235931,45769,468,93,187,13,75,20,51,29
"162","GLOUCESTER",2016-06-30,200716,82604,76305,41469,338,60,152,6,19,9,76,16
"163","HUDSON",2016-06-30,326560,136639,162447,26787,687,123,264,13,105,39,115,28
"164","HUNTERDON",2016-06-30,93468,35100,21005,37158,205,38,98,4,20,9,29,7
"165","MERCER",2016-06-30,225178,96263,94059,34418,438,92,137,3,56,29,92,29
"166","MIDDLESEX",2016-06-30,492938,241964,185186,65141,647,127,238,22,65,25,132,38
"167","MONMOUTH",2016-06-30,432430,206210,115041,110352,827,175,266,16,72,37,211,50
"168","MORRIS",2016-06-30,336650,141441,77103,117536,570,101,239,5,51,24,119,31
"169","OCEAN",2016-06-30,388421,199116,75075,113583,647,100,212,22,69,40,177,27
"170","PASSAIC",2016-06-30,289253,143363,94552,50789,549,65,150,5,25,50,196,58
"171","SALEM",2016-06-30,43890,20021,13600,10152,117,12,51,2,21,3,16,12
"172","SOMERSET",2016-06-30,212792,93097,63963,55384,348,57,161,3,35,16,63,13
"173","SUSSEX",2016-06-30,100337,40081,19119,40913,224,33,98,4,8,6,66,9
"174","UNION",2016-06-30,316064,137875,132918,44714,557,77,178,14,104,33,93,58
"175","WARREN",2016-06-30,74630,29309,16964,28207,150,19,54,2,20,9,38,8
"176","Summary Total :",2016-06-30,5570008,2523326,1899948,1137460,9274,1645,3417,170,997,488,1993,564
"177","ATLANTIC",2016-08-05,169940,76327,51468,41814,331,58,112,4,36,30,61,30
"178","BERGEN",2016-08-05,566853,250154,194987,120708,1004,181,358,16,73,63,256,57
"179","BURLINGTON",2016-08-05,305252,122408,108477,73811,556,99,220,3,89,24,85,36
"180","CAMDEN",2016-08-05,338698,138866,151136,47985,711,146,216,16,92,42,159,40
"181","CAPE MAY",2016-08-05,69198,25949,15366,27730,153,30,57,2,20,6,27,11
"182","CUMBERLAND",2016-08-05,89328,45568,27291,16293,176,25,52,6,36,18,22,17
"183","ESSEX",2016-08-05,508324,211276,248809,47729,510,100,192,13,84,27,62,32
"184","GLOUCESTER",2016-08-05,202118,83116,76650,41936,416,74,173,9,24,18,95,23
"185","HUDSON",2016-08-05,327113,132318,166686,27385,724,128,267,16,115,41,125,32
"186","HUNTERDON",2016-08-05,94011,35493,21063,37231,224,41,108,4,21,8,33,9
"187","MERCER",2016-08-05,226622,96813,94713,34570,526,109,152,3,76,35,112,39
"188","MIDDLESEX",2016-08-05,497363,231608,195647,69140,968,172,295,30,119,46,222,84
"189","MONMOUTH",2016-08-05,435590,206979,115898,111695,1018,211,299,23,122,52,243,68
"190","MORRIS",2016-08-05,337933,133249,82472,121638,574,102,246,5,50,23,119,29
"191","OCEAN",2016-08-05,390494,184059,82800,122890,745,119,226,26,96,44,193,41
"192","PASSAIC",2016-08-05,288878,128178,105597,54542,561,70,156,7,31,49,190,58
"193","SALEM",2016-08-05,44063,20111,13622,10196,134,18,53,2,25,4,19,13
"194","SOMERSET",2016-08-05,216263,93738,65793,56266,466,76,191,5,58,27,85,24
"195","SUSSEX",2016-08-05,101118,40439,19279,41146,254,40,103,4,9,8,79,11
"196","UNION",2016-08-05,318852,132350,139545,46310,647,86,189,17,132,40,113,70
"197","WARREN",2016-08-05,75346,29685,17039,28426,196,28,67,2,29,13,46,11
"198","Summary Total :",2016-08-05,5603357,2418684,1994338,1179441,10894,1913,3732,213,1337,618,2346,735
"199","ATLANTIC",2016-08-31,170416,72593,54474,42979,370,63,121,5,44,32,72,33
"200","BERGEN",2016-08-31,571314,251952,196662,121457,1243,217,405,25,125,76,310,85
"201","BURLINGTON",2016-08-31,307050,123220,109095,74093,642,119,249,4,105,28,94,43
"202","CAMDEN",2016-08-31,340324,139451,151847,48239,787,158,235,20,102,48,175,49
"203","CAPE MAY",2016-08-31,69432,26085,15395,27779,173,35,64,2,23,6,32,11
"204","CUMBERLAND",2016-08-31,89949,45759,27481,16474,235,35,61,8,50,24,36,21
"205","ESSEX",2016-08-31,513914,213230,251669,48349,666,120,219,15,126,37,103,46
"206","GLOUCESTER",2016-08-31,202856,83388,76903,42091,474,82,189,10,26,22,116,29
"207","HUDSON",2016-08-31,329419,121339,178282,28912,886,154,296,26,150,51,153,56
"208","HUNTERDON",2016-08-31,94562,35806,21181,37323,252,44,121,4,27,10,35,11
"209","MERCER",2016-08-31,228148,97437,95426,34685,600,124,165,3,90,41,128,49
"210","MIDDLESEX",2016-08-31,502292,233487,197597,70001,1207,213,334,35,175,70,266,114
"211","MONMOUTH",2016-08-31,437529,207773,116329,112283,1144,241,336,25,148,63,261,70
"212","MORRIS",2016-08-31,340577,134782,83085,122003,707,130,284,8,72,33,140,40
"213","OCEAN",2016-08-31,393041,185180,83275,123737,849,133,255,27,124,52,208,50
"214","PASSAIC",2016-08-31,293462,130140,107320,55227,775,110,196,15,76,68,237,73
"215","SALEM",2016-08-31,44126,20134,13624,10221,147,22,54,2,32,4,20,13
"216","SOMERSET",2016-08-31,217558,94412,66260,56371,515,87,210,5,68,31,85,29
"217","SUSSEX",2016-08-31,101858,40896,19381,41304,277,46,113,4,9,8,88,9
"218","UNION",2016-08-31,319853,127850,143881,47386,736,107,208,14,153,48,127,79
"219","WARREN",2016-08-31,75857,29952,17115,28564,226,31,76,4,35,15,51,14
"220","Summary Total :",2016-08-31,5643537,2414866,2026282,1189478,12911,2271,4191,261,1760,767,2737,924
"221","ATLANTIC",2016-10-05,171624,71375,55992,43812,445,75,138,7,58,42,83,42
"222","BERGEN",2016-10-05,577186,255466,198176,122178,1366,238,438,28,144,86,338,94
"223","BURLINGTON",2016-10-05,308967,124219,109606,74431,711,130,271,5,112,35,112,46
"224","CAMDEN",2016-10-05,342097,140302,152430,48490,875,173,258,22,119,56,194,53
"225","CAPE MAY",2016-10-05,69809,26277,15462,27881,189,35,70,2,27,6,34,15
"226","CUMBERLAND",2016-10-05,90417,46026,27618,16513,260,36,70,9,58,24,40,23
"227","ESSEX",2016-10-05,521314,216245,255051,49074,944,161,269,23,181,58,178,74
"228","GLOUCESTER",2016-10-05,204025,84019,77141,42346,519,93,211,10,30,23,120,32
"229","HUDSON",2016-10-05,335665,123300,181565,29746,1054,177,343,39,181,64,172,78
"230","HUNTERDON",2016-10-05,95021,36121,21267,37366,267,46,127,4,32,11,34,13
"231","MERCER",2016-10-05,230005,98360,96130,34845,670,135,175,4,109,46,147,54
"232","MIDDLESEX",2016-10-05,505419,235325,198418,70339,1337,236,367,41,200,76,287,130
"233","MONMOUTH",2016-10-05,439396,208787,116586,112788,1235,259,369,27,164,74,266,76
"234","MORRIS",2016-10-05,345830,137437,84383,123150,860,143,340,13,112,45,161,46
"235","OCEAN",2016-10-05,395319,186688,83122,124470,1039,173,307,32,174,64,233,56
"236","PASSAIC",2016-10-05,294883,130865,107783,55354,881,128,215,20,102,76,258,82
"237","SALEM",2016-10-05,44368,20265,13657,10289,157,24,56,3,34,4,20,16
"238","SOMERSET",2016-10-05,219158,95428,66650,56522,558,93,224,5,77,36,89,34
"239","SUSSEX",2016-10-05,102382,41196,19461,41423,302,52,124,4,9,8,92,13
"240","UNION",2016-10-05,322270,129253,144599,47603,815,119,230,14,168,53,142,89
"241","WARREN",2016-10-05,76311,30195,17191,28680,245,36,82,4,39,18,52,14
"242","Summary Total :",2016-10-05,5691466,2437149,2042288,1197300,14729,2562,4684,316,2130,905,3052,1080
"243","ATLANTIC",2016-11-07,175765,73947,56878,44357,583,92,166,10,90,52,114,59
"244","BERGEN",2016-11-07,590057,263489,201413,123563,1592,278,500,30,184,106,383,111
"245","BURLINGTON",2016-11-07,314352,127632,110786,75120,814,149,304,5,126,43,132,55
"246","CAMDEN",2016-11-07,348103,143715,154353,49000,1035,207,287,24,141,70,235,71
"247","CAPE MAY",2016-11-07,70888,26902,15661,28107,218,40,75,1,34,8,43,17
"248","CUMBERLAND",2016-11-07,91767,46724,28023,16689,331,46,83,11,72,37,53,29
"249","ESSEX",2016-11-07,535153,224799,259419,49843,1092,191,306,28,228,69,185,85
"250","GLOUCESTER",2016-11-07,207506,86220,77790,42898,598,105,233,10,37,32,144,37
"251","HUDSON",2016-11-07,347815,130640,185409,30471,1295,227,407,47,234,78,208,94
"252","HUNTERDON",2016-11-07,96417,37030,21530,37562,295,50,143,4,35,11,37,15
"253","MERCER",2016-11-07,235482,101759,97708,35237,778,159,196,5,128,55,167,68
"254","MIDDLESEX",2016-11-07,520319,244669,202316,71683,1651,306,451,50,264,92,337,151
"255","MONMOUTH",2016-11-07,447716,213731,117959,114531,1495,311,443,32,213,92,308,96
"256","MORRIS",2016-11-07,352646,141970,85671,124023,982,166,392,16,135,51,171,51
"257","OCEAN",2016-11-07,402458,191170,83985,126080,1223,213,354,38,206,73,261,78
"258","PASSAIC",2016-11-07,302861,135875,109947,56024,1015,152,256,25,118,83,294,87
"259","SALEM",2016-11-07,44836,20552,13729,10377,178,26,62,4,37,6,26,17
"260","SOMERSET",2016-11-07,224334,98690,67831,57177,636,109,253,5,91,44,94,40
"261","SUSSEX",2016-11-07,103896,42211,19653,41701,331,59,135,4,9,11,100,13
"262","UNION",2016-11-07,329166,133450,146615,48147,954,146,263,17,201,66,161,100
"263","WARREN",2016-11-07,77739,31100,17417,28954,268,36,96,5,44,17,56,14
"264","Summary Total :",2016-11-07,5819276,2516275,2074093,1211544,17364,3068,5405,371,2627,1096,3509,1288
"265","ATLANTIC",2016-11-30,176135,74160,56990,44383,602,94,170,11,94,53,120,60
"266","BERGEN",2016-11-30,590522,263755,201584,123567,1616,285,512,30,186,104,388,111
"267","BURLINGTON",2016-11-30,315495,127854,111361,75454,826,152,310,5,128,43,134,54
"268","CAMDEN",2016-11-30,348638,143806,154616,49134,1082,212,298,25,150,78,240,79
"269","CAPE MAY",2016-11-30,70980,26894,15696,28167,223,43,77,1,36,8,43,15
"270","CUMBERLAND",2016-11-30,91849,46709,28074,16717,349,47,85,11,78,38,57,33
"271","ESSEX",2016-11-30,535778,225444,259387,49855,1092,192,308,27,227,69,185,84
"272","GLOUCESTER",2016-11-30,207336,86142,77726,42871,597,105,233,10,37,32,144,36
"273","HUDSON",2016-11-30,348067,130829,185445,30484,1309,229,409,47,236,81,210,97
"274","HUNTERDON",2016-11-30,96765,37148,21588,37727,302,50,145,4,36,12,40,15
"275","MERCER",2016-11-30,236640,102183,98202,35431,824,163,203,6,141,59,180,72
"276","MIDDLESEX",2016-11-30,520327,244582,202377,71720,1648,305,451,50,262,92,337,151
"277","MONMOUTH",2016-11-30,448339,213915,118090,114790,1544,317,456,33,228,99,314,97
"278","MORRIS",2016-11-30,352738,141723,85848,124178,989,168,397,16,135,51,172,50
"279","OCEAN",2016-11-30,402435,191042,83972,126149,1272,222,370,38,211,78,269,84
"280","PASSAIC",2016-11-30,303259,136104,110077,56058,1020,157,255,26,116,83,296,87
"281","SALEM",2016-11-30,44845,20561,13724,10382,178,26,62,4,37,6,26,17
"282","SOMERSET",2016-11-30,224438,98696,67913,57195,634,109,252,5,90,44,94,40
"283","SUSSEX",2016-11-30,103805,42126,19643,41707,329,59,135,4,9,11,98,13
"284","UNION",2016-11-30,330109,134091,146828,48204,986,149,269,18,208,69,168,105
"285","WARREN",2016-11-30,77617,31060,17387,28902,268,36,96,5,44,17,56,14
"286","Summary Total :",2016-11-30,5826117,2518824,2076528,1213075,17690,3120,5493,376,2689,1127,3571,1314
