"","County","Reporting_Date","Total","UNA","DEM","REP","Total_Third_Party","GRE","LIB","RFP","CON","NAT","CNV","SSP"
"68","Bergen",2020-03-01,642733,262932,236159,136920,6722,1101,1575,169,1436,550,1356,535
"69","Burlington",2020-03-01,327185,120811,122123,80637,3614,543,904,64,722,322,715,344
"70","Camden",2020-03-01,375675,140552,173893,56093,5137,750,1012,132,1141,483,1094,525
"71","Cape May",2020-03-01,72607,25591,17047,29187,782,107,189,9,175,56,169,77
"72","Cumberland",2020-03-01,90832,39783,30513,18736,1800,174,302,54,518,215,321,216
"73","Essex",2020-03-01,543650,204129,280194,54240,5087,696,867,168,1285,525,1008,538
"74","Gloucester",2020-03-01,218386,82369,83776,49562,2679,399,671,70,484,198,602,255
"75","Hudson",2020-03-01,388993,132621,212074,38077,6221,886,1249,207,1415,529,1291,644
"76","Hunterdon",2020-03-01,101015,36273,24988,38947,807,144,284,4,132,51,142,50
"77","Mercer",2020-03-01,246784,96432,108691,37940,3721,533,690,60,840,347,827,424
"78","Middlesex",2020-03-01,538209,222634,226198,82323,7054,989,1397,194,1696,638,1418,722
"79","Monmouth",2020-03-01,467025,200972,130371,129972,5710,919,1346,135,1160,552,1139,459
"80","Morris",2020-03-01,370306,135981,101633,129077,3615,602,1001,66,718,280,677,271
"81","Ocean",2020-03-01,418308,179991,88896,144013,5408,813,1218,127,1192,463,1088,507
"82","Passaic",2020-03-01,314868,124445,122780,62654,4989,619,925,144,918,483,1376,524
"83","Salem",2020-03-01,47584,19993,14618,12265,708,84,164,6,74,47,250,83
"84","Somerset",2020-03-01,243822,97770,81117,62396,2539,384,719,44,526,191,462,213
"85","Sussex",2020-03-01,108459,39449,22578,44765,1667,299,449,27,287,144,343,118
"86","Union",2020-03-01,355396,128356,168513,53702,4825,595,941,147,1171,491,979,501
"87","Warren",2020-03-01,81273,29743,19626,30893,1011,149,288,20,207,78,199,70
"88","Grand Total",2020-03-01,6146509,2396169,2331251,1342208,76881,11214,16758,1939,16733,6886,15971,7380
"89","Atlantic",2020-04-01,193699,75419,65598,49845,2837,430,573,94,654,247,530,309
"90","Bergen",2020-04-01,644050,263309,236935,137024,6782,1100,1581,172,1460,559,1371,539
"91","Burlington",2020-04-01,328312,121049,122788,80792,3683,557,907,69,736,333,729,352
"92","Camden",2020-04-01,376211,140629,174199,56181,5202,748,1026,132,1162,496,1105,533
"93","Cape May",2020-04-01,72699,25580,17091,29239,789,105,192,10,177,56,171,78
"94","Cumberland",2020-04-01,91104,39802,30597,18860,1845,181,309,55,529,216,328,227
"95","Essex",2020-04-01,544330,204100,280702,54337,5191,703,883,173,1327,524,1030,551
"96","Gloucester",2020-04-01,219487,82746,84103,49893,2745,411,689,74,504,195,608,264
"97","Hudson",2020-04-01,390298,133065,212684,38271,6278,882,1262,210,1427,535,1306,656
